Name,Expertise
Dr. Sharma,"Artificial Intelligence, Machine Learning, Deep Learning"
Prof. Gupta,"Web Development, JavaScript, React, Node.js"
Dr. Verma,"Data Science, Python, Statistics, SQL"
Dr. Mehta,"Cybersecurity, Networking, Ethical Hacking, Linux"
Prof. Reddy,"Cloud Computing, AWS, Docker, Kubernetes"
Dr. Iyer,"Blockchain, Smart Contracts, Solidity, Ethereum"
Prof. Singh,"Mobile App Development, Flutter, Firebase, Android"
Dr. Kapoor,"Natural Language Processing, Text Mining, Information Retrieval"
Prof. Nair,"UI/UX Design, Human Computer Interaction, Figma"
Dr. Banerjee,"Software Engineering, Agile, DevOps, Project Management"
